"","lyrics","song","artist"
"27","D-D-Daytrip took it to ten (hey!)

Baby back, ayy, couple racks, ayy
Couple Grammys on him
Couple plaques, ayy
That's a fact, ayy
Throw it back, ayy, throw it back, ayy

And this one is for the champions
I ain't lost since I began, yeah
Funny how you said it was the end, yeah
Then I went did it again, yeah

I told you long ago on the road
I got what they waiting for
I don't run from nothing, dawg
Get your soldiers, tell 'em I ain't laying low
You was never really rooting for me anyway
When I'm back up at the top, I wanna hear you say
""He don't run from nothing, dawg
Get your soldiers, tell 'em that the break is over"" (uh)

Need to, uh, need to get this album done
Need a couple number ones
Need a plaque on every song
Need me like one with Nicki now
Tell a rap nigga I don't see ya (hah)
I'm a pop nigga like Bieber (hah)
I don't fuck bitches, I'm queer (hah)
But these niggas bitches like Madea, yeah, yeah, yeah, ayy (yeah)

Oh, let do it
I ain't fall off, I just ain't release my new shit
I blew up, now everybody tryna sue me
You call me Nas, but the hood call me Doobie (yeah)

And this one is for the champions
I ain't lost since I began, yeah
Funny how you said it was the end, yeah
Then I went did it again, yeah

I told you long ago on the road
I got what they waiting for (I got what they're waiting for)
I don't run from nothing, dawg
Get your soldiers, tell 'em I ain't laying low (bitch, I ain't running from nowhere)
You was never really rooting for me anyway (ooh, ooh)
When I'm back up at the top, I wanna hear you say (ooh, ooh)
""He don't run from nothing, dawg
Get your soldiers, tell 'em that the break is over"" (yeah)

My track record so clean, they couldn't wait to just bash me
I must be getting too flashy, y'all shouldn't have let the world gas me (woo)
It's too late 'cause I'm here to stay and these girls know that I'm nasty (mm)
I sent her back to her boyfriend with my handprint on her ass cheek
City talking, we taking notes
Tell 'em all to keep making posts
Wish he could, but he can't get close
OG so proud of me that he choking up while he making toasts
I'm the type that you can't control, said I would, then I made it so

I don't clear up rumors (ayy), where's y'all sense of humor? (Ayy)
I'm done making jokes 'cause they got old like baby boomers
Turned my haters to consumers, I make vets feel like they juniors (juniors)
Say your time is coming soon, but just like Oklahoma (mm)
Mine is coming sooner (mm), I'm just a late bloomer (mm)
I didn't peak in high school, I'm still out here getting cuter (woo)
All these social networks and computers
Got these pussies walking 'round like they ain't losers

I told you long ago on the road
I got what they waiting for (I got what they waiting for)
I don't run from nothing, dawg
Get your soldiers, tell 'em I ain't laying low (bitch, I ain't runnin' from nowhere)
You was never really rooting for me anyway (ooh, ooh)
When I'm back up at the top, I wanna hear you say (ooh, ooh)
""He don't run from nothing, dawg
Get your soldiers, tell 'em that the break is over"" (yeah)

I'm the industry baby, mmm (yeah)
I'm the industry baby (yeah)
","Industry Baby","Lil Nas X & Jack Harlow"
"28","Ayy
My girl is bangin'
She's so low maintenance
Don't need no champagne poppin' entertainment
Take her to Wendy's
Can't keep her off me
She wanna dip me like them fries in her Frosty

But every now and then when I get paid
I gotta spoil my baby with an upgrade (ayy)
Ayy, ayy, ayy

Yeah, we fancy like Applebee's on a date night
Got that Bourbon Street steak with the Oreo shake
Get some whipped cream on the top too
Two straws, one check, girl, I got you
Bougie like Natty in the styrofoam
Squeak-squeakin' in the truck bed all the way home
Some Alabama-jamma, she my Dixieland delight (ayy)
That's how we do, how we do, fancy like, oh

Fancy like, oh
Fancy like, oh
Fancy like, oh

Uh, don't need no Tesla (don't need no Tesla) to impress her (to impress her)
My girl is happy rollin' on a Vespa (there she go)
Don't need no mansion (ooh) to get romancin' (woo)
She's super fine, double wide, slow dancin' (slow dancin')

But every now and then when I get paid
I gotta spoil my baby with an upgrade
Ayy, ayy, ayy

Yeah, we fancy like Applebee's on a date night (that's right)
Got that Bourbon Street steak with the Oreo shake (ayy)
Get some whipped cream on the top too (gotta add that whipped cream)
Two straws, one check, girl, I got you (girl, I got you)
Bougie like Natty in the styrofoam (styrofoam)
Squeak-squeakin' in the truck bed all the way home (all the way home)
Some Alabama-jamma, she my Dixieland delight (ayy)
That's how we do, how we do, fancy like

My new, clean blue jeans without the holes in 'em
Country kisses on my lips without the Skoal in 'em
Yeah, she probably gon' be keeping some Victoria's Secrets
Maybe a little Maybelline but she don't need it
In the kitchen light radio slows down
Boxed wine and her up-do goes down

Ayy
Yeah, we fancy like Applebee's on a date night (that's right)
Got that Bourbon Street steak with the Oreo shake (ayy)
Get some whipped cream on the top too (gotta add that whipped cream)
Two straws, one check, girl, I got you
Bougie like Natty in the styrofoam (styrofoam)
Squeak-squeakin' in the truck bed all the way home (all the way home)
Some Alabama-jamma, she my Dixieland delight (ayy)
That's how we do, how we do, fancy like
","Fancy Like","Walker Hayes"
"29","Astro-naut

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean

She say that I'm cool (damn straight)
I'm like, ""Yeah, that's true"" (that's true)
I believe in G-O-D (ayy)
Don't believe in T-H-O-T
She keep playing me dumb (play me)
I'ma play her for fun (uh-huh)
Y'all don't really know my mental
Lemme give you the picture like stencil

Falling out, in a drought
No flow, rain wasn't pouring down (pouring down)
See, that pain was all around
See, my mode was kinda lounged
Didn't know which-which way to turn
Flow was cool but I still felt burnt
Energy up, you can feel my surge
I'ma kill everything like this purge (ayy)

Let's just get this straight for a second, I'ma work
Even if I don't get paid for progression, I'ma get it (get it)
Everything that I do is electric
I'ma keep it in a motion
Keep it moving like kinetic, ayy (yeah, yeah, yeah, yeah)

Put this shit in a frame, better know I don't blame
Everything that I say, man I seen you deflate
Let me elevate, this ain't a prank
Have you walkin' on a plank, li-li-li-li-like
Both hands together, God, let me pray (now let me pray)
Uh, I've been going right, right around, call that relay (Masked Wolf)

Pass the baton, back and I'm on
Swimming in the pool, Kendrick Lamar, uh
Want a piece of this, a piece of mine, my peace a sign
Can you please read between the lines?
My rhyme's inclined to break your spine
They say that I'm so fine
You could never match my grind
Please do not, not waste my time

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean
","Astronaut in the Ocean","Masked Wolf"
"30","Up, up
Up (ayy), up (uh)
Up, look (this is fire)

Once upon a time, man, I heard that I was ugly
Came from a bitch who nigga wanna fuck on me

I said my face bomb, ass tight
Racks stack up Shaq height
Jewelry on me, flashlight
I been lit since last night
Hit him with that good-good
Make a nigga act right
Broke boys don't deserve no pussy (I know that's right!)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked

If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (ayy)
Up, then it's up, if it's up, then it's stuck (huh)
If it's up, then it's up, then it's up, then it's stuck, huh (woo)

I could make the party hot, I could make your body rock
Bitches say they fuckin' with me, chances are they probably not
If I had a dick, you'd probably lick it like a lollipop
Hoes speakin' Cap-enese, hit 'em with karate chop
I'm forever poppin' shit, pullin' up and droppin' shit
Gotta argue with him 'cause a nigga love a toxic bitch
Niggas out here playin', gotta make 'em understand
If ain't no ring on my finger, you ain't goin' on my 'Gram

I said my face bomb, ass tight
Racks stack up Shaq height (yeah)
Jewelry on me, flashlight (huh)
I been lit since last night (woo)
Hit him with that good-good
Make a nigga act right (ah)
Broke boys don't deserve no pussy (I know that's right!)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked (woo)
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked (woo)

If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (ayy)
Up, then it's up, if it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (bitch)

Bitches ain't fuckin' with me now and I can see why
Dirty-ass, dusty-ass bitch, you got pink eye
Bitches want smoke until I bring it to they doorstep
Tell that bitch, ""Back, back,"" breath smell like horse sex (ha)
Put it on him now, he will never be the same (he won't)
Tatt'ed on my ass 'cause I really like the pain (ah)
He nutted on my butt, I said, ""I'm glad that you came""
If that nigga had a twin, I would let 'em run a train, woo (skrrt)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked (woo)
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked (ooh)

If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (woo)
Up, then it's up, if it's up, then it's stuck (woo)
If it's up, then it's up, then it's up, then it's stuck, huh

Look, gotta play it safe, huh
No face, no case (hahaha)
","Up","Cardi B"
"31","You might think I'm crazy
The way I've been craving
If I put it quite plainly
Just gimme them babies

So what you doin' tonight?
Better say, ""Doin' you right""
Watching movies, but we ain't seen a thing tonight

I don't wanna keep you up
But show me, can you keep it up?
'Cause then I'll have to keep you up
Should've baby, I'ma keep you up, boy

I've been drinking coffee
And I've been eating healthy
You know I keep it squeaky, yeah
Saving up my energy

Can you stay up all night?
Love me 'til the daylight
Thirty-four, thirty-five
Can you stay up all night?
Love me 'til the daylight
Thirty-four, thirty-fivе

Can we stay up all night? F... a jet lag
You bring your fine a... and overnight bag
Add up the numbers or get behind that
Play and rewind that, listen, you'll find that
I want that six-nine without Tekashi
And I want your body and I make it obvious
Wake up the neighbors, we got an audience
They hear the clapping, but we not applauding 'em
Six o'clock and I'm crushing
Then it get to seven o'clock now he wants it
When it hit eight o'clock, we said, ""F... it""
Forget your girl, pretend that I'm her
Come make the cat purr, come make my back hurt, ay
Making that squirt and rain and shower and spray
Now that's perfect, baby, we don't sleep enough
But I'ma keep you up, if you can keep it up

Can you stay up all night?
Love me 'til the daylight
Thirty-four, thirty-five
Can you stay up all night?
Love me 'til the daylight
Thirty-four, thirty-five

Ay, rock you like a baby, but you know I'm 'bout to keep you up
Welcome to my channel, and today I'm 'bout to teach you something
I can make you pop, legs up like a Cancan
Wake the neighbors up, make it sound like the band playing
Bi... let me get cute
He's about to come through
I've been in the shower for 'bout a whole hour
He finna act a dog in it so he get the bald kitty
Netflix or Hulu? Baby, you choose
I'm up like Starbucks, three pumps, oh
This p... good for ya health, call it superfood
When I'm by myself, DIY like it's YouTube
Bad, bad b... all the boys wanna spank me
Left him on read, girlfriend need to thank me
Make his toes point, ballerina, no tutu
Baby, I'm the best, I don't know what the rest do
Dive in the water like a private island
Thirty-four, thirty-five, we can sixty-nine it
And I been a bad girl but this p... on the good list
I hope that you ain't tired, we ain't stopping 'til I finish

Can you stay up all night?
Love me 'til the daylight
Thirty-four, thirty-five
Can you stay up all night?
Love me 'til the daylight
Thirty-four, thirty-five

Means I wanna ""69"" with you, no
","34plus35","Ariana Grande feat. Doja Cat & Megan Thee Stallion"
"32","Shout out my nigga Synco
(Tuned up) Uh

Copped a BMW
New deposit, I picked up another bag like, ""Fuck it, I'ma count while I'm in it""
I hear planes flying, crowds screaming, money counters, chains clanging
Shit, I guess that's how it sound when you winning
I ain't joking, do it sound like I'm kidding?
I've been making like 2000 a minute
So high up through the clouds, I was swimming
I'm probably gon' drown when I'm in it
I bet she gon' get loud when I'm in it
And we might have a child when I'm finished

Uh, I won't love a hoe, after we fuck, she can't get near me
Only bitch I give a conversation to is Siri
My pants Amiri, yes, I'm winning, clearly
I'm the chosen one, seen my potential, so they fear me
Lately, I've been praying, God, I wonder, can you hear me?
Thinking 'bout the old me, I swear I miss you dearly

Stay down 'til you come up, I've been sticking to that theory
Every day a battle, I'm exhausted and I'm weary
Make sure I smile in public, when alone, my eyes teary
I fought through it all, but that shit hurt me severely
I've been getting high to hide behind my insecurities
Taking different pills but I know it ain't gon'...

Uh, copped a BMW
New deposit, I picked up another bag like, ""Fuck it, I'ma count while I'm in it""
I hear planes flying, crowds screaming, money counters, chains clanging
Shit, I guess that's how it sound when you winning
I ain't joking, do it sound like I'm kidding?
I've been making like 2000 a minute
So high up through the clouds, I was swimming
I'm probably gon' drown when I'm in it
I bet she gon' get loud when I'm in it (uh-uh)
And we might have a child when I'm finished

They say I'm 'Pac rebirth, never put out a weak verse
Homicides when we lurk, I'ma step 'til my feet hurt
Weren't put in them streets first
White tees turned burgundy t-shirts
Looking for some' real, he stuck in a deep search

Anxiety killing me, I just want to leave Earth
When they ask if I'm okay, it just make everything seem worse
Tryna explain your feelings sound like something you rehearsed
Stabbed me in my back with a clean smirk

Looking so deep into your eyes, I can read your thoughts, uh
Shut the fuck-, I mean, please don't talk
I done been through too much and I don't need another loss
Put that on every war scar, for every battle I fought

Uh, copped a BMW
New deposit, I picked up another bag like, ""Fuck it, I'ma count while I'm in it""
I hear planes flying, crowds screaming, money counters, chains clanging
Shit, I guess that's how it sound when you winning
I ain't joking, do it sound like I'm kidding?
I've been making like 2000 a minute
So high up through the clouds, I was swimming
I'm probably gon' drown when I'm in it
I bet she gon' get loud when I'm in it
And we might have a child when I'm finished

When I'm finished, when I'm finished
","Rapstar","Polo G"
"33","I got a man, but I want you
I got a man, but I want you
And it's just nerves, it's just dick making me think 'bout someone new
You know, I got so much to say
I try to hide it in my face
And it don't work, you see through that I just wanna get with you

And you're right
You right, I got my guy
But I, I can't help it, I want you
Said, you right, I got my guy
But I, I can't help it, I want you

I can't stop and look the other way
'Cause I know what could be, babe, and you'd never feel the same
You'd be thinking 'bout it every day
Don't believe in fairy tales, but we got our fantasies

And it's me and you, no, she tryna be all through your sheets
Have you all on top of me, acting like it's not that deep
Boy, you can take it off of me, tell me what it's 'bout to be
Really feel it's bound to be, I can't tell no one but they all know

I got a man, but I want you
I got a man, but I want you
And it's just nerves, it's just dick making me think 'bout someone new
You know, I got so much to say
I try to hide it in my face
And it don't work, you see through that I just wanna get with you

And you're right
You right (you right), I got my guy (you right)
But I, I (I) can't help it, I want you
Said, you right, I got my guy
But I, I can't help it, I want you

Girl, I want you like you want me to
I feel that energy (oh, yeah)
When you're on top of me (oh, yeah)
I know your man, he ain't controlling you
But you still hesitate
'Cause you choose loyalty (oh, yeah)

And I know your history (hey)
Met him before your peak (hey)
He's so connected to that woman that you used to be
But-but-but this sex will cloud your memory
A couple strokes, I'll put it in, then you'll belong to me

I got a man, but I want you
I got a man, but I want you
And it's just nerves, it's just dick making me think 'bout someone new
You know, I got so much to say
I try to hide it in my face
And it don't work, you see through that I just wanna get with you

And you're right
You right, I (right) got my guy (I got my-)
But I, I (but I) can't help it, I want you
Said, you right, I (yeah) got my guy (yeah)
But I, I (yeah) can't help it, I want you
","You Right","Doja Cat feat. The Weeknd"
"34","Steady callin' my phone
I done told you before that it's over, leave me 'lone
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back
But trust me, you gon' hold that
Hold that, that

Get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now

I ain't tryna play these games no more
I don't wanna be textin' yo' name no more
I ain't tryna feel this pain no more
And I'm sorry, but my feelings ain't the same no more (no)
Used to be my homie, you ain't gang no more (no)
I am not a nigga you could claim no more (no)
Traumatized, hoping it don't rain no more
You done put me through some things, I done changed my aura

Now all around the world, I explore her, no Dora
New bitch, I might drip her in Dior
Ass fat, shawty straight heat, no Florida
Bad and she know it, for herself, I applaud her
No needs (yeah, I'm talkin' my boo)
So please (leave me 'lone, I'm through)
And it's all 'cause what you started
I been told you, you gon' lose

Steady callin' my phone (brrt)
I done told you before that it's over, leave me 'lone (brrt)
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back (go back)
But trust me, you're gon' hold that
Hold that, that

Get you off my mind now (where you at?)
I can't get you off my mind now (yeah, yeah)
I can't get you off my mind now (my mind)
I can't get you off my mind now (alright)
I can't get you off my mind now (whoa)
I can't get you off my mind now (whoa)
I can't get you off my mind now (yeah)
I can't get you off my mind now

I ain't tryna play no games, my love
I'm one of a kind, couldn't fake my love
Earthquake, make somethin' shake, my love
Most of them can't even relate, my love
Used to be gang, oh, now you're not gang
Used to have fun, no, now you got shame
Used to catch flights, but now I'm not playin'
Play on words, she love it when a nigga sing

I ain't tryna play your game no more
No, you can't wear my chain no more
We are not a thing, can't take no more
Waitin' on your king, you could wait some more
'Cause yeah, I remember days when I used to adore her
Funny how this shit just flipped like a quarter
Get a new thing, I'ma Fendi and Dior her
Get a mood swing, I'll be gone by tomorrow

Steady callin' my phone (brrt)
I done told you before that it's over, leave me 'lone (yeah, yeah)
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back (I won't go back)
But trust me, you're gon' hold that (hold that)
Hold that, that

Get you off my mind now (mind)
I can't get you off my mind now (mind)
I can't get you off my mind now (mind)
I can't get you off my mind now (mind)
I can't get you off my mind now (mind)
I can't get you off my mind now (mind)
I can't get you off my mind now (yeah)
I can't get you off my mind now
I can't-
","Calling my Phone","6LACK & Lil Tjay"
"35","I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am

Stop, what the hell are you talking about? Ha
Get my pretty name outta your mouth
We are not the same with or without
Don't talk 'bout me like how you might know how I feel
Top of the world, but your world isn't real
Your world's an ideal

So, go have fun
I really couldn't care less
And you can give 'em my best, but just know

I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am

I don't want press to put your name next to mine
We're on different lines, so I
Wanna be nice enough
They don't call my bluff 'cause I hate to find
Articles, articles, articles
Rather you remain unremarkable
(Got a lotta) interviews, interviews, interviews
When they say your name, I just act confused

Did you have fun?
I really couldn't care less
And you can give 'em my best, but just know

I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am

I'm sorry
I don't think I caught your name

I'm sorry
I don't think I caught your name

I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am
","Therefore I am","Billie Eillish"
"36","Uh

Shawty go jogging every morning (every morning)
And she make me breakfast almost every morning (every morning)
And she take a naked pic' before she leave the door
I be waking up to pics' before a nigga yawning

And every weekend my shawty comin' over (over)
Shawty could Fendi out, but she like Fashion Nova (Nova)
She ain't driving no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (love you, baby)
'Cause I like what I see

Look, baby, I said I ain't gon' front
You got my heart beating so fast to words I can't pronounce
And I be getting the chills every time I feel your touch
I be looking at the top and girl, it's only us

All I need is your trust
And girl I told you once, don't make me tell you twice
I know you see this print through my pants that I know you like
And yo' ass be looking so fat when it be in them tights
And I'm going straight to the top, so hope you ain't afraid of heights

You always treat me right, for a fact, you never left
Through all the trials and tribulations, always had my best
So here's 55 hunnid, go and get your breasts
Start rubbin' on your butt, start kissing on yo' neck

Hey batter, batter, hey batter, batter
Niggas know I had to swing, I had to make a play
I had to apply the pressure, 'cause you my hidden treasure
I think I'm falling in love

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (love you, baby)
'Cause I like what I see (oh)
","What You Know bout Love","Pop Smoke"
"37","Last night, all I think about is you
Don't stop, baby, you can walk through
Don't wanna, but I think about you
You know that I'm never gonna lose

Road shimmer, wiggling the vision

Heat, heat waves, I'm swimming in a mirror
Road shimmer, wiggling the vision
Heat, heat waves, I'm swimmin' in a-

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Usually, I put something on TV
So we never think about you and me
But today, I see our reflections clearly in Hollywood
Laying on the screen

You just need a better life than this
You need something I can never give
Fake water all across the road
It's gone now, the night has come, but

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

You can't fight it, you can't breathe
You say something so loving, but
Now I gotta let you go
You'll be better off with someone new

I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

I just wonder what you're dreaming of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Heat waves been faking me out

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Sometimes all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Road shimmer wiggling the vision
Heat, heat waves, I'm swimming in a mirror
Road shimmer wiggling the vision
Heat, heat waves, I'm swimming in a mirror
","Heat Waves","Glass Monkeys"
