"lyrics","song","artist"
"I'm gonna take my time
She gon' get hers before I
I'm gonna take it slow
I'm not gonna rush the stroke

So she can get a sexual eruption
So I can get a sexual eruption
So we can get a sexual eruption
Sexual eruption, woah, woah

She might be with him but she's thinking 'bout me, me, me
We don't go to the mall, we don't go out to eat, eat, eat
All that we ever do is play in the sheets, sheets, sheets
Smoke us a cigarette, then go back to sleep, sleep, sleep

'Cause we done got a sexual eruption
Sexual eruption, woah, woah
Sexual eruption
Sexual eruption, woah

I'm gonna take my time
She gon' get hers before I
I'm gonna take it slow
I'm not gonna rush the stroke

If you don't know by now, Doggy Doggy is a freak, freak, freak
I keep a bad bitch with me, seven days out the week, week, week
And all that we ever do is play in the sheets, sheets, sheets
Then smoke us a cigarette, and go back to sleep, sleep, sleep

'Cause we done got a sexual eruption
Sexual eruption, woah, woah
Sexual eruption
Sexual eruption, woah

I was all in the club, sippin' some Hen, smokin' on a blunt of 'dro
When I peeped this lil' hoe out
I was all in the bar, when, drift up, Shawty Redd came on
Then she hit the floor, now

With a see-through dress, long hair, light brown eyes
Lookin' like Miss Bo Peep
And a nigga know if I take her home, with them wide-ass hips
You're damn right, I'm gon' beep

So I approached the chick with the real pretty face
Big-ass booty with a little-bitty waist
I whispered in her ear, ""Lil' mama, what you drink?
I know that you a freak, but you know I ain't gon' say shit""

See, my game is outrageous
I got her to the crib and exchanged some fuck faces
But it wasn't no use for me to rush to bust one
'Cause I wanted her to have an eruption

Sexual eruption (a sexual eruption, yeah)
Sexual eruption, woah (orgasms)
Sexual eruption
Sexual eruption, woah, woah

Sexual eruption
All the time, anytime
Sexual eruption, woah
","Sexual Eruption","Snoop Dogg"
"Konvict, Konvict

Oh-oh-oh
Oh-oh-oh
Oh-oh-oh
Oh-oh-oh
Oh-oh-oh
Oh-oh-oh
Oh-oh-oh, oh-oh-oh

I peeped you on the phone
Just showing off ya stones
And notice that that pinky ring is bright enough baby
I know you're not alone
But I could just be wrong
The way them fellas houndin' and sizin' you up baby
And I like the way you take advantage of
Every man you love
I see, and I know your game girl
But I don't mind if you come and play with us
Just don't talk too much
I see, I see it so you don't have to say a word

Yeah those guys wanna come treat you right
'Cause you're sweeter than apple pie
Everything that you want you got
Girl you know that you need to stop
Most beautiful thing in sight
Always taking on the spotlight
Always in the club looking hot
Girl you know that you need to stop

Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Girl you know that you need to stop (eh, eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Girl you know that you need to stop (eh, eh)

Girl I can tell you want something to love
That's why you hold on to everything that pass you by
Can't resist girl and I can't lie
And I can tell if you are here for me
Or everybody watching you shake from left to right
The way you move got me hypnotized
The way you take advantage of, every man you love
I see, and I know your game girl
But I don't mind if you come and play with us
Just don't talk too much
I see, I see it so you don't have to say a word

Yeah those guys wanna come treat you right
'Cause you're sweeter than apple pie
Everything that you want you got
Girl you know that you need to stop
Most beautiful thing in sight
Always taking on the spotlight
Always in the club lookin' hot
Girl you know that you need to stop

Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Girl you know that you need to stop (eh, eh)
Always talking 'bout what you got (oh-oh-oh)
Always talking 'bout what you got (oh-oh-oh)
Always talking 'bout what you got (oh-oh-oh)
Girl you know that you need to stop

I can't keep my eyes away from you girl when you get on the floor and do what you do
And ev'rybody wanna come back to that body and kind of remind myself I'm like you
'Cause you're that type to drive a man crazy
And snatch him away from his lady
No matter how hard the man hold back he'll end up callin' you baby
And they, never really know what to do
Once you expose that thing you do
You had him crawlin' on hands and knees
And you find a way to get him out that cheese
And why you thinking you the only dude
She off in the mall living off of you
Lettin' ev'rybody know she got you but now you feel like a fool

Yeah those guys wanna come treat you right
'Cause you're sweeter than apple pie
Everything that you want you got
Girl you know that you need to stop
Most beautiful thing in sight
Always taking on the spotlight
Always in the club looking hot
Girl you know that you need to stop

Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Girl you know that you need to stop (eh, eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Always talking 'bout what you got (eh)
Girl you know that you need to stop (eh, eh)
","What You Got (feat. Akon) [Main]","Colby O'Donis"
"Looking back at the beginning of this
And how life was
Just you and me and love and all of our friends
Living life like an ocean
But now the current's slowly pulling me down
It's getting harder to breathe
It won't be too long and I'll be going under
Can you save me from this?

'Cause it's not my time, I'm not going
There's a fear in me, it's not showing
This could be the end of me
And everything I know
Ooh, I won't go

I look ahead to all the plans that we made
And the dreams that we had
I'm in a world that tries to take 'em away
Oh, but I'm taking 'em back
'Cause all this time I've just been to blind to understand
What should matter to me
My friend, this life we live is not what we have
It's what we believe

And it's not my time, I'm not going
There's a fear in me, it's not showing
This could be the end of me
And everything I know
But it's not my time, I'm not going
There's a will in me and now I know that
This could be the end of me
And everything I know
Ooh, but I won't go
I won't go

There might be more than you believe
(There might be more than you believe)
There might be more than you can see

But it's not my time, I'm not going
There's a fear in me, it's not showing
This could be the end of me
And everything I know
But it's not my time, I'm not going
There's a will in me and now it's gonna show
This could be the end of me
And everything I know, oh

There might be more than you believe
(There might be more than you believe)
And there might be more than you can see

But I won't go
No, I won't go down
Yeah
","It's Not My Time","3 Doors Down"
"It's been the longest winter without you
I didn't know where to turn to
See, somehow I can't forget you
After all that we've been through

Going, coming, thought I heard a knock
""Who's there?"" No one
Thinking that I deserve it
Now I realise that I really didn't know
If you didn't notice, you mean everything
Quickly, I'm learning to love again
All I know is I'm gon' be okay

Thought I couldn't live without you
It's gonna hurt when it heals too, oh, yeah
It'll all get better in time
And even though I really love you
I'm gonna smile 'cause I deserve to
It'll all get better in time

I couldn't turn on the TV (no)
Without something there to remind me
Was it all that easy
To just put aside your feelings?

If I'm dreaming, don't wanna laugh
Hurt my feelings, but that's the path
I believe in
And I know that time will heal it
If you didn't notice, boy, you meant everything
Quickly, I'm learning, ooh, to love again
All I know is I'm gon' be okay

Thought I couldn't live without you
It's gonna hurt when it heals too, oh, yeah
It'll all get better in time
And even though I really love you
I'm gonna smile 'cause I deserve to
It'll all get better in time

Since there's no more you and me (no more you and me)
It's time I let you go so I can be free
And live my life how it should be (no-no-no, no-no-no)
No matter how hard it is, I'll be fine without you
Yes, I will

Thought I couldn't live without you
It's gonna hurt when it heals too, oh, oh, oh
It'll all get better in time
And even though I really love you
I'm gonna smile 'cause I deserve to, yes, I do
It'll all get better in time

Thought I couldn't live without you
It's gonna hurt when it heals too, yes
It'll all get better in time
And even though I really love you
I'm gonna smile 'cause I deserve to
It'll all get better...
","Better In Time","Leona Lewis"
"Lil Jon & The East Side Boyz & Ying Yang Twins","Crank That (Soulja Boy)","Soulja Boy Tell 'Em"
"Everybody in the back we wanna see you too, yes
That's nice

I close both locks below the window
I close both blinds and turn away
Sometimes solutions aren't so simple
Sometimes goodbye's the only way

And the sun will set for you
The sun will set for you
And the shadow of the day
Will embrace the world in gray
And the sun will set for you

Cards and flowers on your window
Your friends all plead for you to stay
Sometimes beginnings aren't so simple
Sometimes goodbye's the only way

And the sun will set for you
The sun will set for you
And the shadow of the day
Will embrace the world in gray
And the sun will set for you (yes it will)

And the shadow of the day
Will embrace the world in gray
And the sun will set for you

And the shadow of the day
Will embrace the world in gray
And the sun will set for you
","Shadow of the Day","LINKIN PARK"
"Some live for the bill, some kill for the bill
Yeah, she wined for the bill, grind for the bill
(She used to be the sweetest girl)
Some steal for the bill, if they got to pay they bill
(She used to be the sweetest girl) Tonight Wyclef, Akon, Weezy on the bill

High school she was that girl, that make me do the hula hoop around the gym
(Just to get a peek again, she's a 10)
High school she was that girl, that make me do the hula hoop around the gym
(Just to get a peek again, she's a 10)
Never thought she would come and work for the president
Mr. George Washington (where my money at?)

She thought he'd call (where my money at?)
She had a good day, bad day, sunny day, rainy day
All he wanna know is (where my money at?)
Closed legs don't get fed, go out there and make my bread
All he wanna know is (where my money at?)
She ended up in a road car, bruised up, scarred hard
All he wanna know is (where my money at?)
She thought he'd call (where my money at?)

See I'ma tell you, like Wu told me
Cash rules everything around me
Singin' dollar dollar bill y'all
Dollar dollar bill y'all
Singin' dollar dollar bill y'all
Dollar dollar bill y'all

'Cause I'ma tell you, like Wu told me
Cash rules everything around me
Singin' dollar dollar bill y'all
Dollar dollar bill y'all
Singin' dollar dollar bill y'all
Dollar dollar bill y'all

Pimpin' got harder 'cause hoes got smarter
On the strip is somethin' they don't wanna be a part of
Rather be up in the club shakin' for a thug
Get triple times the money and spendin' it like they wanna
They got they mind on they money, money on they mind
They got they finger on the trigger, hand on the nine
See every day they feel the struggle but stayin' on they grind
And ain't nobody takin' from us and that's the bottom line

But I know there's a drop in the block
You move slow, you gettin' pressure from cops
You don't know how not to lay low
'Cause 25 to life's no joke
To all my real gorillas thuggin'
On top of corners every day strugglin'
All the beautiful womens gettin' money
Washin' them dollar bills like laundry

See, I'ma tell you, like Wu told me
Cash rules everything around me
Singin' dollar dollar bill y'all
Dollar dollar bill y'all
Singin' dollar dollar bill y'all
Dollar dollar bill y'all

'Cause I'ma tell you, like Wu told me
Cash rules everything around me
Singin' dollar dollar bill y'all
Dollar dollar bill y'all
Singin' dollar dollar bill y'all
Dollar dollar bill y'all

Money, money, money, money
Money, money, money, money
It drives the world crazy
She used to be
She used to be the sweetest girl

She used to be the sweetest girl ever, forever
Now she like sour amaretto
She wears a dress to the T like the letter
And if you make it rain, she will be under the weather

She used to run track back in high school
Now she tricks on the track right by school
She take the loss 'cause she don't wanna see her child lose
So respect her or pay up for the time used
And then she runs to the pastor
And he tells her there will be a new chapter
But she feels no different after
And then she asks him

See I'ma tell you, like Wu told me
Cash rules everything around me
Singin' dollar dollar bill y'all
Dollar dollar bill y'all
Singin' dollar dollar bill y'all
Dollar dollar bill y'all

'Cause I'ma tell you, like Wu told me
Cash rules everything around me
Singin' dollar dollar bill y'all
Dollar dollar bill y'all
Singin' dollar dollar bill y'all
Dollar dollar bill y'all

Some live for the bill, some kill for the bill (where my money at?)
She wined for the bill, grind for the bill (where my money at?)
Some steal for the bill, if they got to pay the bill (where my money at?)
Tonight Wyclef, Akon, Weezy on the bill (where my money at?)
","Sweetest Girl (Dollar Bill)","Wyclef Jean, Lil Wayne, Niia & Akon"
"The best thing 'bout tonight's that we're not fighting
Could it be that we have been this way before?
I know you don't think that I am trying
I know you're wearing thin, down to the core

But hold your breath
Because tonight will be the night that I will fall for you, over again
Don't make me change my mind
Or I won't live to see another day, I swear it's true
Because a girl like you is impossible to find
You're impossible to find

This is not what I intended
I always swore to you I'd never fall apart
You always thought that I was stronger
I may have failed, but I have loved you from the start

Oh, but hold your breath
Because tonight will be the night that I will fall for you, over again
Don't make me change my mind
Or I won't live to see another day, I swear it's true
Because a girl like you is impossible to find
It's impossible

So breathe in so deep
Breathe me in, I'm yours to keep
And hold on to your words 'cause talk is cheap
And remember me tonight when you're asleep

Because tonight will be the night that I will fall for you, over again
Don't make me change my mind
Or I won't live to see another day, I swear it's true
Because a girl like you is impossible to find

Tonight will be the night that I will fall for you, over again
Don't make me change my mind
Or I won't live to see another day, I swear it's true
Because a girl like you is impossible to find
You're impossible to find
","Fall for You","Secondhand Serenade"
"Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer-ay-ayer, ayer-ay-ayer

Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer-ay-ayer, ayer-ay-ayer

Hey this is my jam
Yall don't understand
I'll make you understand
What's pumpin in my CD player (player)
Party all night like yayer (yayer)
Shawty got her hands in the ayer (ayer)
Make me want to take it there
Then I go ""here I go yea that's my song""
DJ bring it back come in my zone
I get paid for them couple bones
The next wop until the early morn
I need that crunk when I'm up in tha club
Even my Chevy that pull up on dubs
Give me that drop yellow waist like a drug
Lil mama hot and she might show me love
Oh hot damn celebrate to tha A.M.
I love it so much it got me sayin

Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer-ay-ayer, ayer-ay-ayer

Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer-ay-ayer, ayer-ay-ayer

Hey I just might start the wave
Like I'm at a ball game do my thang
Hands up high got money in tha bank
I'm so fly 747 plane
Rock it no stop it how I got my name
Baby keep poppin you might get tha fame
Walk tha red carpet won't see you the same
I get tha stuntin forget my name
Start with me
Ride with me
Represent and vibe with me
Make me
Throw it up ma timid in tha club
Go ahead throw it up
Gotta wonder how much
To show enough to stare (stare)
I'm hood so its really unfair (unfair)
Shorty go ahead and get bare (bare)
We treat our city like the mayor (mayor)

Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer-ay-ayer, ayer-ay-ayer

Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer-ay-ayer, ayer-ay-ayer

Alright now stop
Put your hands in the ayer
It's a stick (a stick up stick up) its a stick up touch the ceilin' baby
Put your hands up
Put your hands up
Put your, put your hands (Throw my hands in the)
Put your hands up to the sky (to the sky)
Wave em, wave em round and round, side to side (side to side)
It's the party shawty going touch the roof (touch the roof)
And we got em bottoms poppin' at my proof
So throw your hands in the ayer (ayer)
Touch the ceilin' baby
Fell it, feel it baby
Throw your hands up

Oh hot damn, this is my jam
Keep me partying till the A.M
Yall don't understand, make me throw my hands
In the ayer, ay, ayer, ayer, ay, ayer
(Throw your hands up)
","In the Ayer (feat. will.i.am)","Flo Rida"
"Take all of your wasted honor
Every little past frustration
Take all of your so-called problems
Better put 'em in quotations

Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say

Walking like a one man army
Fighting with the shadows in your head
Living out the same old moment
Knowing you'd be better off instead
If you could only

Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say

Have no fear for giving in
Have no fear for giving over
You better know that in the end
It's better to say too much
Than never to say what you need to say again

Even if your hands are shaking
And your faith is broken
Even as the eyes are closing
Do it with a heart wide open, a wide heart

Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to say
Say what you need to
Say what you need to

Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
Say what you need to say (I say you ought to)
Say what you need to say (I say, well)

Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
Say what you need to say (I say you ought to)
Say what you need to say (I say, well)
","Say","John Mayer"
"Hurry up and wait
So close, but so far away
Everything that you've always dreamed of
Close enough for you to taste, but you just can't touch

You wanna show the world, but no one knows your name yet (knows your name yet)
Wonder when and where and how you're gonna make it
You know you can if you get the chance
In your face, and the door keeps slamming
Now you're feeling more and more frustrated (frustrated)
And you're getting all kind of impatient (impatient)
Waitin' (waitin')
We live and we learn to take

One step at a time
There's no need to rush
It's like learning to fly
Or falling in love (just falling in love)
It's gonna happen (it's gonna happen) when it's supposed to happen
Then we find the reasons why
One step at a time

You believe and you doubt
You're confused
And got it all figured out
Everything that you always wished for
Could be yours, should be yours, would be yours
If they only knew

You wanna show the world, but no one knows your name yet (knows your name yet)
Wonder when and where and how you're gonna make it (make it)
You know you can if you get the chance
In your face, and the door keeps slamming
Now you're feeling more and more frustrated (frustrated)
And you're getting all kind of impatient (no, oh)
Waitin' (waitin')
We live and we learn to take

One step at a time
There's no need to rush (no need to rush)
It's like learning to fly
Or falling in love (just falling in love)
It's gonna happen (it's gonna happen) when it's supposed to happen
Then we find the reasons why
One step at a time

When you can't wait any longer (you can't wait)
But there's no end in sight (ooh, oh)
(When you need to find the strength)
It's your faith that makes you stronger
(The only way we get there) the only way we get there
Is one step at a time

Oh-oh, take one step at a time
There's no need to rush (no need to rush)
It's like learning to fly
Or falling in love (falling in love)
It's gonna happen when it's supposed to happen
Then we find the reasons why
One step at a time

One step at a time
There's no need to rush (no need to rush)
It's like learning to fly
Or falling in love (falling in love)
It's gonna happen (it's gonna happen) when it's supposed to happen
Then we find the reasons why
One step at a time
","One Step At a Time","Jordin Sparks"
"Yeah, yeah
Hey, yeah
That's how much I love you (Yeah)
That's how much I need you (Yeah, yeah, yeah)

And I can't stand you
Must everything you do make me wanna smile
Can I not like you for awhile? (No)
But you won't let me
You upset me, girl
And then you kiss my lips
All of a sudden I forget (That I was upset)
Can't remember what you did

But I hate it
You know exactly what to do
So that I can't stay mad at you
For too long, that's wrong
But I hate it
You know exactly how to touch
So that I don't want to fuss and fight no more
Said I despise that I adore you

And I hate how much I love you, boy (Yeah)
I can't stand how much I need you (I need you)
And I hate how much I love you, boy (Ooh, whoa)
But I just can't let you go
And I hate that I love you so (Ooh)

And you completely know the power that you have
(The power that you have)
The only one makes me laugh (One that makes you laugh)
Sad, and it's not fair
How you take advantage of the fact
That I, love you beyond a reason why
And it just ain't right, oh

And I hate how much I love you, girl
I can't stand how much I need you (Yeah)
And I hate how much I love you, girl
But I just can't let you go
But I hate that I love you so

One of these days maybe your magic won't affect me
And your kiss won't make me weak
But no one in this world knows me the way you know me
So you'll probably always have a spell on me
Yeah, ooh, oh, oh
Yeah, yeah, yeah, yeah, yeah, yeah

That's how much I love you (How much I need you)
That's how much I need you (How much I love you)
That's how much I love you (Oh, need you)
That's how much I need you (I need you)
And I hate that I love you so

And I hate how much I love you, boy
I can't stand how much I need you (I can't stand how much I need you)
And I hate how much I love you, boy
But I just can't let you go (But I just can't let you go, no)
And I hate that I love you so (Ooh)

And I hate that I love you so, so
","Hate That I Love You (feat. Ne-Yo)","Rihanna"
"If you are what you say you are (yeah, yeah) a superstar (gon' say now)
Then have no fear, the camera's here
And the microphones
And they wanna know-oh-oh-oh, yeah (free Chilly)

Yeah, uh, a fresh cool young Lu'
Tryin' cash his microphone check, 2-1-2
Wanna believe my own hype but it's too untrue
The world brought me to my knees, what have you brung you?
Did you improve on the design? Did you do somethin' new?
Well, your name ain't on the guest list, who brung you?
You! The more famous person you come through
And the sexy lady next to you, you come too

And then it hit me
Standin' outside of heaven waitin' for God to come and get me
I'm too uncouth
Unschooled to the rules and too gum shoe
Too much of a new comer and too un-cool

Like Shadow and Lavelle, I battle with it well
Though I need holiday like lady who sung ""Blue""
Go back, whatever you did you undo
Heavy as heaven, the devil on me, two tons too

If you are what you say you are, a superstar
Then have no fear, the camera's here
And the microphones
And they wanna know-oh-oh-oh, yeah

And you better wear your shades
The spotlights here can burn holes through the stage
Down to the basement pass the Indian graves
Where the dinosaurs laid and
Out through China, nearly miss the airliners

Magnified times five, 'less it's pointed at the rhymer
Ricochets off the moon and sets the forest ablaze
Now, that's important to say
'Cause even with all that most of us don't want it to fade

We want it to braid, meaning we want it to grow
Meaning we want it to stay
Like the governor called and he told him to wait
Unstrap him from the chair and put him back in his cage

The audience ain't fazed
And they ain't gon' clap and they ain't gon' praise
They want everything back that they've paid
'Cause they've been waitin' since ten to see the lights get dim

If you are what you say you are, a superstar
Then have no fear, the crowd is here
And the lights are on
And they want a show-oh-oh-oh, yeah

So chauffeur, chauffeur, come and take me away
'Cause I've been standin' in this line for like five whole days
Me and security ain't getting' along
And when I got to the front, they told me all of the tickets were gone

So just take me home where the mood is mellow
And the roses are grown, M&M's are yellow
And the light bulbs around my mirror don't flicker
Everybody gets a nice autograph picture

One for you and one for your sister
Who had to work tonight but is an avid listener
Every songs her favorite song and mics don't feedback
All the reviewers say ""You need to go and see that""
And everybody claps 'cause everybody is pleased
And then they all take the stage and start performin' for me
Like, ""Ha, ha, ha-ha-ha""
""Ha, ha, ha-ha-ha, ha""

If you are what you say you are, a superstar
Then have no fear, the camera's here
And the microphones
And they wanna know-oh-oh-oh (yeah)

If you are
What you say you are
Then have no fear
","Superstar (feat. Matthew Santos)","Lupe Fiasco"
"I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face
And I've never been this swept away

All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear is the beating of your heart

'Cause I can feel you breathe
It's washing over me
And suddenly I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch
Slow and steady rush
Baby, isn't that the way that love's supposed to be?

I can feel you breathe

Just breathe

In a way I know my heart is waking up
As all the walls come tumbling down
Closer than I've ever felt before
And I know, and you know
There's no need for words right now

'Cause I can feel you breathe
Washing over me
And suddenly I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch
Slow and steady rush
Baby, isn't that the way that love's supposed to be?

I can feel you breathe
Just breathe

Caught up in the touch
Slow and steady rush
And baby, isn't that the way that love's supposed to be?

I can feel you breathe
Just breathe

I can feel the magic floating in the air
Being with you gets me that way
","Breathe","Faith Hill"
"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool

My muñequita
My Spanish Harlem Mona Lisa
You're my reason for reason
The step in my groove, yeah

And if you said, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood (yeah)
Because you're so smooth

And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real, or else forget about it

But I'll tell you one thing
If you would leave, it'd be a crying shame
In every breath and every word
I hear your name calling me out, yeah

Well, out from the barrio
You hear my rhythm on your radio
You would feel the turning of the world, so soft and slow
Turnin' you 'round and 'round

And if you said, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood (yeah)
Because you're so smooth

And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real, or else forget about it, yeah

And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real, or else forget about it, yeah

Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
(Give me your heart, make it real)
Oh, let's don't forget about it, hey
Let's don't forget about it now, oh, no
Oh, let's don't forget about it, no, no, no
Oh, let's don't forget about it, hey, no, no
Oh, let's don't forget about it, hey, hey, hey
","Smooth (feat. Rob Thomas)","Santana"
"Thank you so much
This song is dedicated to all the beautiful ladies here
All my friends, all my fans
Thank you so much for the support
It's been now about 16 years
And y'all been 100% in every sense
ありがとうございました

It's amazing how you knock me off my feet
Every time you come around me I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So I wanna know

I wanna know what turns you on
(Yea, I'd like to know)
So I can be all that and more
(I'd like to know, yea)
I'd like to know what makes you cry
(So)
So I can be the one who always make you smile

Girl he never understood what you were worth, no
And he never took the time to make it work, no
(You deserve more loving, girl)
Baby I'm the kind of man who shows concern, yes I do
Anyway that I can please you, let me learn
So I wanna know

I wanna know what turns you on
(I'd wanna know)
So I can be all that and more
(I'd like to know)
I'd like to know what makes you cry
(So)
So I can be the one who always makes you smile
(Make you smile, baby)

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

Tell me what I gotta do
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

I wish that I could take a journey through your mind, alright
And find emotions that you always try to hide babe, oh
I do believe that there's a love you wanna share, oh oh
I'll take good care of you lady, have no fear, oh
So I wanna know

I wanna know what turns you on
(So I wanna know)
So I can be all that and more
(So I'd like to know)
I'd like to know what makes you cry
(So)
So I can be the one who always makes you smile

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true
Yeah yeah yeah yeah
I wanna know what turns you on
(I'd like to know, I'd like to know, yea)
So I can be all that and more
(I wanna know)
I'd like to know what makes you cry
(So)
So I can be the one who always makes you smile

Oh tell me, tell me
Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my

Now tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's ture

Do you mind if I, take you on a such a journey
Do you mind at all, take you on a such a journey
","I Wanna Know","Joe"
"Somewhere, there's speaking, it's already coming in
Oh, and it's rising at the back of your mind
You never could get it unless you were fed it
Now you're here and you don't know why

But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen, listen and wait for the
Echoes of angels who won't return

He's everything you want, he's everything you need
He's everything inside of you that you wish you could be
He says all the right things at exactly the right time
But he means nothing to you and you don't know why

You're waiting for someone to put you together
You're waiting for someone to push you away
There's always another wound to discover
There's always something more you wish he'd say

He's everything you want, he's everything you need
He's everything inside of you that you wish you could be
He says all the right things at exactly the right time
But he means nothing to you, and you don't know why

But you'll just sit tight and watch it unwind
It's only what you're asking for
And you'll be just fine with all of your time
It's only what you're waiting for

Out of the island, into the highway
Past the places where you might have turned
You never did notice, but you still hide away
Anger of angels who won't return

He's everything you want, he's everything you need
He's everything inside of you that you wish you could be
He says all the right things at exactly the right time
But he means nothing to you, and you don't know why

I am everything you want, I am everything you need
I am everything inside of you that you wish you could be
I say all the right things at exactly the right time
But I mean nothing to you and I don't know why

And I don't know why
Why?
I don't know
","Everything You Want","Vertical Horizon"
